tier_1	comments
else	Fix the problem, do not show up and walk away with the replacement part and leave us with a broken laptop. Need some kind of exception or something. The part needed was shipped to us by Lenovo, it was here. The on site tech showed up and walked away with it.
else	Pay for the $60 return postage. Provide explanation of why computer failed.
else	Completely resolve issues when laptop returned. Not return it with partial fix.
else	Provide updates and more info
else	There should have been no new damage to computer when it was returned.
else	Agent need more training on how to order parts and make sure whatever part were order has correct shipping address . Also Support person should ownership of the case and close case when actual parts deliver to customer.
else	No detail in emails, just that a package was received and then a package was sent.  No explanation to what happened with the phone and why it was not working
else	I got a new issue post part replacement.
else	It can make the repair faster. It is a really good thing that the repair facility is in North Bay Ontario which is a reasonable distance from everywhere on Canada.
else	"I have trouble with a lot of apps ""not responding"" or shutting down? Is there a solution?"
else	The first part was damaged so the technician had to come back a second time to replace the first part.  In the meantime, the origninal TS call, when I indicated there was a second part needing repair and he acknowledged it, as I feared he did not arrange for that part to be shipped.  Thus, on the second onsite visit, the tech did have the replacement for the damaged original replacement part and the replacement part that he ordered that the TS call recipient should have ordered.
else	Repair high end business laptops in a faster fashion, almost 2 weeks for one of your very expensive top end P51 laptops is shocking.Call centre support staff were either as helpful as they could be, or obviously didnt care.  Phone calls were not returned. And engineers did not turn up on the first day when they were supposed to both times.  I also was not told you were shipping the part to my address on the 2nd repair, it was pure chance I happened to be home when it was delivered...
else	Send parts that work.
Agent	less time on hold
else	Without feedback until now.
else	It took 5+ visits from service techs and ultimately had to send in to Service Depot to get system working again. Phone support was poor and management was entirely unhelpful in creating a timely resolution.
else	Requested instructions for CRU to be sent. Nonecame with it. Difficult to find video on website. The one found for T570 was out of date.
else	Still waiting for return and refund
else	Please make a call back to client to confirm their support satisfaction
else	Expedite the service and parts availability.
else	I had a damaged screen on my Motorola z2 force.During the subsequent calls to Motorola, I received 3 different replacement senerio and prices!
else	More training for your customer service reps especially in the technological issues department.
else	Quicker response, less paperwork for an obvious issue..
else	Deliver the parts ASAP
else	My replacement phone was returned in non-working condition.  I sent Motorola RMA my phone with a battery and stock battery cover.  Why were these essential parts not returned?  How am I supposed to use a phone without a battery?
else	1) FIx the spare parts delivery process so the client doesn't have manage your activities.2) Provide better quality parts.
else	I received my computer back after a month and it wouldn't boot. Worse shape than when I sent it.
else	faster repair, on time update
else	Correct information on the Lenovo service order tracking system. Return my device repaired without any new problems.
else	need to visited the engineer on time when ticket logged for the same
else	at list Lenovo should provide proper contact number so we should talk with right person.
else	You need to be really, really clear on how to download a product (such as MSOffice, where absolutely no instructions are given, nor any recognition that you have actually purchased and paid for it!).   I am also very disappointed that I had to pay for the anti-virus software that I had specifically asked - in the first instance - that it be included in the quote.
else	Provide better status updates to customer
else	Replace the computer, still have not received a shipping label to return for exchange. I have box for it already.
else	better communication on progress, and faster turn around time.
else	Provide better status updates. Repair took almost a month.
else	Send the correct parts, communicate about delays, timelines, etc.
else	Give updates on status and have knowledgeable people who answer phoned
else	Telephone no was supplied to Lenovoand there was no attempt on the company part to communicate. The issue has not been resolved and after 2 months from Purchase the Tablet has ceased to be operational
else	Too Long waiting for a simple part.
else	Faster return time. Updated communication about the problem. And resolution of actual problem.
else	Check the device properly before returning, because the laptop battery connected, and I had to give it for checking.
else	Train the service people who take the calls to understand better the replacement parts that are required ie if consumer or indeed the engineer is required to fit. As it was suggested that I could fit and when I saw engineer fit then I was glad I went for that option.
else	I have had this unit for approximately 3 months when I had a problem it would not boot up at all. I called about 4 times before someone finally made a ticket for Me to send it in. I sent it in and the time in the repair shop was short that was good accept it was apparently never checked out after the hard drive was replaced because it had someone else's   name in the original boot up area. I then called another 3 times before someone finally decided to send Me a boot thumb drive after installing this I am finally up and running.
else	Direct contact to customer care and use best supplier for laptop parts because my laptop screen damaged within 6 month after purchasing
else	I gave my mobile phone before 2 months at Motorola service center, but still there is no any update
else	Need to improve the speed of delivery of the parts
else	1) If you cannot get parts in a few days and I have 'next business day warranty' send me a replacement product (like Dell). 2) Send the technician with the parts (like Dell)  rather than posting the part and then assigning the technician, it just wastes time.
else	Less time waiting to connect to an actual person
else	Incompetence on Lenovo's end in sending the proper parts.
else	Reason  was that  I have a Sim card under my phone cover. But they not returned my sim card and say that go to sim store and take a new sim card.
else	Technicians are unable to resolve issue, product needs returned to pc service depot
else	Go back to having better phone support - it's been sub par for about 6 months, they don't even know the parts they are ordering so they don't bother to order it.  They need to have some basic equipment expertise.  The onsite tech though is great!
else	Speed up resolution time since I had to be without my work computer for more than 4 days.
else	The repair service was a LOT faster than I had anticipated, and they even shipped back the battery I accidently left in the phone. The batter got back to me within a day of the phone being officially logged into the repair system!
else	We seen repeated problems even after replacing the hardware parts, Lenovo need to cross check thoroughly before sending to customer's place
else	Regular updates. Support site is hard to find. Phone number for support is overseas. Had to dig into my text messages to find the 1800 number cause it was impossible to find on the site.
else	Listen customer properly then send parts
else	Perhaps make the Automated phone service be a bit more simpler and have a better phone connection.
else	parts to not take longer 4 to 6 weeks to arrive. Although my incident part didn't take long however,  they didn't all arive at once and caused delasy with having to wait fo the part to arrive and technician attending twice.
else	Late hour call-ins need better service.  I called in on 12-5-18 at 10:10 PM and was put on hold and finally hung up at 11:30 PM and all I ever heard was music and will be with you soon.  After finally giving up I hung up an using my other computer scheduled a call back for 8:45 AM the next morning.  The call back came at 7:15 in the morning which I missed since my phone is located not near my bedroom.   I then called back at app 9:00 AM the morning after my initiate call the evening before and the service was outstanding.  I would have scored Lenovo a ten based on that service and assistance but because of the evening prior I had to decrease my score.
else	Replacement part availability.
else	The representative I spoke to did not respond with clear answers to my questions and seemed extremely reluctant to give me any information about the logistics of using my warranty (which was my original question). He asked extremely inappropriate personal questions to the point that I was very uncomfortable with the amount of personal information and screenshare access I had given to diagnose and set up the service request. At one point he seemed to question the legitimacy of the malfunction I've been experiencing and pushed me to confirm whether the issue was now resolved, despite the fact that the problem is intermittent and would only be confirmed with further use.
else	The returned computer was keeping frozen up.
else	"The last person I spoke to before the new phone was sent out kept saying, ""So you returned the front of the phone and the battery."" I kept saying, ""What would be the point of keeping the back of the phone without the rest of it? No, I returned the front, back, and battery!"" She needs to listen better. Everything was there on Saturday. But you could have saved at least a little money by putting the back of the phone in the same package as the front of the phone and the battery."" It wasn't a hearing problem. It was a listening problem."
else	Camand of technical engineer he is always very fast and false service
else	Try to deliver all the parts at the same time. We had to wait for the charger for another week!!
else	Actually ship the parts, show up, and fix the problem... none of which has occurred yet.
else	They sent me a Broken part and when I complained about it further they didn't respond properly
else	Device return has damage and missing part
else	Still waiting for a pre paid postage label
else	Speed up the process from the initial contact for service.
else	Time period for replacement parts could be improved
else	English speaking phone centres. When I submit my information pre call the person who calls me should have that info available to them. Help me with my problem and dont make getting my mailing address the first thing to do. This again goes to the part about having he info in my account available to the person I am talking to
else	Availability of Lenovo softwares specifically for updated MBD SN
else	Notify customer when parts are being shipped to their attention.
else	Test the unit before it gets sent back
else	parts are out of stock and defective.
else	Improve https://www.managedtechnicalsupportaccess.com/mtsarva/lenovo.html it is really slow at times and the displayed history is sometimes confusing (why do I get a message that I sent you a message, I know that already).
else	Faster sparepart delivery, more adequate root cause analysis.
else	Better instructions (dongle was hidden in mouse); easier to find customer support phone number; better English skills
else	Improve Level 1 troubleshooting, or provide a quick escalation to Level 2 for technical people like myself.
else	Less wait time
else	advance appointment and punctuality.
else	We are not satishfied with lenovo service .. we are a software company in growing stage and already have 8 Lenovo think pad but planning to switch to other hardware and my staff is puzzled and frustrated with the service your team provides
else	Fix the problem before you return the laptop? I have been without my laptop for weeks.
else	Again start by being truthful and honest. I have not spoken to Lenovo over the phone, this is an inaccurate statement, an untruth. Secondly, answer the emails I sent, I responded to you via email and until I chased you via the contact page, I did not hear back. You never answered by questions posed in the second email, I am still awaiting a response. Thirdly, admit that your software which I was directed to on your website does not work with my device when used with Windows 7 64bit, it seems it never will. Yet at the time it clearly stated it will. The software will install on Windows 7 64bit, but the drivers but it will never connect to my device, so it is a waste of time installing it.  I have gone an purchased a new device (an ASUS) and it work perfectly with Windows 7 64bit. If people ask I will recommend ASUS and not Lenovo.
else	Better stock of parts
else	Confirm update for engineer to attend onsite
else	Dear Lenovo Team and the People at the top management (if this feedback is going to them for their understandings and action)Improve the quality of your mother boards, first i had got it changed under the standard warranty last year and this year again i had to go thru the same under my extended warranty.. Hence we are given to understand that the Lenovo Laptops are substandard and are highly unreliable. I was suggested by the dealer who sold me the laptop, that i should buy an extended warranty so that in future if there are any complications in the hardware the warranty will cover it.. Thanks to the dealer but all thumbs down to the product.. Highly disappointed with the product substandard quality.why in the first place should i buy an extended warranty???  It means that i had paid half the cost of the mother board by means of buying ext wty.. to cover your product flaws??Truly unsatisfied with your product and Hope to never buy again any of Lenevo Products and please do not consider me being a brand ambassador !!!!Hiten SomaiyaM-7262025253
else	The laptop would not boot up after it was returned to me. Immediately, I created a new ticket (406GHND) and I still have not heard back regarding that ticket.
else	My first call to the support was not fruitful. However, the second call landed on to a gentleman who gracefully handled the situation and performed an excellent job.
else	Bad communication from LWT, repairman has attended 5 times. Staff member without laptop for a month
Agent	Better follow up and proactive. Inform me need to change motherboard. But no definite or estimated time frame. Call a few times but hotline wait time too long. Get to your CS and inform technician will call but never get call. At least can send me an email but also no email.  Only when I write directly to svc center to voice my dissatisfaction and immediately the following day send me a text message that my device is ready for collection.
else	Contact your business customers when they create tickets directly in your system. This was a routine part failure and my employee was without their main PC for an entire week.
else	Before closing Call Lenovo should speak to user about resolution given.
else	More communication, was told the part would take a couple of days to come in and then the engineer would arrange the visit. However we had to wait over a week for more communication after being told the part had been ordered.
else	Send engineers on time as your executive said that engineer will be sent by today but didnot come
else	Your onsite is terrible (apart from one tech who knows what he is doing, everyone else have no idea, I know more about Lenovo products than your techs), parts availability is terrible, witing times awful and this is all Premium support!
else	When ordering parts ensure what you say, I.e. it should be there in 2 days is actually the truth. I called after 2 days and the order had been delayed and then on the third day I checked to see where my part was and it had been cancelled. The consultant had to come on-site 3 times, desperate visits, just to resolve my issue because he didnt have the correct parts. Improve this please. I was without a computer for 1 week and I had work and an exam to complete. Poor experience. The technician was great though.
else	weak product not working from the second day she bought and took 30 days at services for repair
else	I am still waiting since 8/15 for a phone call for an update on my escalated case #03775205  original #7026973019.   Computer was rec'd by Lenovo on 8/2 and I haven't heard anything since.  I have called and left voice mail for case manager and also emailed him.  Still no response.   His name is Jason 919-874-3006.
else	When my phone was acting up, I received a replacement. Awesome, I thought my problems were over UNTIL two weeks after getting my replacement did I notice it had glitches. I contacted Motorola and it took months to get another replacement for problems that should not have been occurring on a new phone. I just feel that it was a problem that took way too long to fix. I now have my newest replacement and so far so good.
else	The computer has returned with a bitlocker on it and I cannot access any of the files
else	Improve BIOS updates and software.
else	Reduce waiting time, keep me updated. Repairs have only been completed after calling for status request.
else	prepare more spare parts for technician to replace
else	"Don't refuse to forward me to technicians who can address my very specific technical questions. Don't keep sending hardware randomly and make field technicians dance because you won't address the problem in a serious manner. Don't ship packages to one of my clients' addresses with another of my clients' company names on the label. Don't repeat that error after I've spent half an hour on the phone with someone who promises to fix this specific, additional, inexcusable blunder. Don't then forward my call to three more people in a row who won't address my issue. When I call what looks like a corporate number, don't act as if tech support has nothing to do with you and put me back at the beginning of the voice prompt at ""tech support"" when it's already been two weeks and change. Don't promise a callback from ""Corporate"" on Friday and make me call back on Tuesday because you have failed at that simple action. Don't close case number 405Z63Z as if you've done something and open case number 4063HH8 as if administrative thrashing were your only skill. When I ask for a manager because I've spoken to eight people who refuse to take charge, GET ME A MANAGER, and don't make me listen to you read case notes as a prerequisite to that simple demand as if you're don't something useful. When you refuse to get someone serious on the phone, don't say have a wonderful day and hang up. Twice. Within three days' time. And DO NOT blame any of this on the excellent field technician; she had the only idea of any substance in all of this. And finally, if you call yourselves tech support, BE tech support. Focus."
