tier_1	comments
else	Time frame for initial resolution was not met.  Support staff seemed very unkknowledgable about the current state of my computer as I followed up.  Secondarily the machine was damaged due to incorrect packaging when returned to me.  This means I have to send it back again after it took 3 weeks to fix the first time.
else	Give an accurate indication and updates of when the replacement item will arrive
else	Quicker availability and supply of replacement parts would be nice to see, 6 weeks to get a new screen is excessive
else	Offer advice and guidance relates to the problem I contacted you aboit
else	I do not understand why I received a refurbished phone
else	Better communication, better tech support, quicker ordering process, better tracking for shipments
else	Retailers could update the warranty time automatically to Lenovo as soon as the machine is sold. Took extra days to update the warranty before creating a ticket.
else	Currently waiting on a home technician visit
else	Better parts availability as this impacts on the purchase of the NBD warranty. Better build quality and pricing of products to prevent the need for warranty calls.
else	My initial response would be training
else	part shipping need to improve
else	Less response time. Not understanding the gravity of the issues. It take nearly 1 year to resolve the issue
else	Use better parts with less deffects
else	Better supply chain for faster parts
else	When I first reported the issue, I was advised to ship the product to the repair center at North Carolina. When I realized it may take a week or more, I was given a couple of authorized centers which are approximately an hour away from my location. I tried calling each of them to obtain an appointment and was dissatisfied with no response received. Hence, I called Lenovo again and was offered an in-person service and was surprised such an option existed. Why didn't Lenovo support advised this option in the first place??
else	I requested the correct part and the telephone support person refused my request and sent the wrong part. The on site tech had to call in to reuest the part needed and make a return visit.
else	I am still waiting for a repair to be initiated
else	No further contact by Lenovo
else	Provide more detailed information in updates and send updates via email in addition to posting them online.
else	delays in contacting
else	Tech never came out to service device after 3 reschedules
else	Send better updates regarding the status of repair and become more efficient at repairing items. Lenovo had my laptop at its depot for over a month. Throughout that month I did not receive one update regarding what was wrong with my laptop, why it was taking so long to repair, or even if my laptop could be repaired. It was not until I called Lenovo asking what the hold up was that my laptop was sent back to me. Upon receiving my laptop back nothing changed. From the moment I turned my laptop on, I experienced the flashing black lines and flickering screen I sent my laptop in for. Even after calling Lenovo I was told there was nothing that really could be done unless I was to send it back in to the depot to be fixed again, which is what should have been done the first time around. Lenovo had my laptop for 6 weeks and in that six weeks nothing was done to fix the issue or even communicate to me at all about the status of my laptop and its repair
else	The chat experience was not helpful and was painstakingly long between responses.  When I called in the support person knew exactly how to resolve the issue.
else	Fix it the first time instead of putting me through a month of hassle and sending it in a second time to get fixed right.
else	Shorter waiting time
else	make chat support able to process rmasreduce phone hold time and remove annoying music and ads
else	The policy whereby an on-site technician is allowed to only order one part at a time was a contributor to the slow completion of repairs.
else	More communication and real time update
else	Change the courier company, change the feedback system
else	To shorten the waiting time for the parts.
else	Not make me pay to get the units back to you that are under warranty.
else	shortened the waiting time for the parts
else	It took a very long time to have the tablet returned. Allegedly this was because a part was out of stock. But then when I finally got it back, it said that it was working and no repair was done.
else	Better communication , better parts availability, setting expectation of completion date.
else	make better parts.  Brand new computer had to be fixed within 30 days
else	Ship the proper parts at the proper time.  Get better phone people who understand what I try to tell them.I've had 2 separate issues.  BOTH times the wrong parts were shipped for the tech.  After the first repair the computer immediately suffered a bad hard drive.  It took three tries and several hours before I could get phone techs to agree to solve the problem.  Then when the next tech arrived the recovery USB had not been shipped.When it arrived and I called back in I barely succeeded in sending out another tech.   I had to tell him THREE times that the tech wasn't in the room with me and he needed to send someone.I'm in Colorado, the tech had to come here to fix my computer from Kansas!Both onsite technicians were fine.  The logistics and phone support are very poor for a major company.   Lenovo should be embarrassed. Do NOT penalize the techs for this bad process.  THey did their job.
else	Offer technical support over the weekends
else	Everything is fine, It seems technical chat support is not available for india. it would be better if you provide technical chat support as well.
else	have better managers who liaise properly with the customer and call them back when they say they will.
else	Exteremely poor technician service - possibly due to not getting a part, but also terrible communication.
else	Make updates more accessible, either when contacting a representative (was told repeatedly they made a note and someone would email me back, but never did) or make web updates current
else	Need more communication between customer and Lenovo, Computer was sent but no updates were given, nor was info exchanged, Computer just showed up at my door 9 days later with no explanation.
else	It's been 4 months since I sent my computer in and I still haven't received it
else	Based on symptoms described, issue could have been diagnosed sooner and correct part shipped out.  The first part shipped (hard drive cable) was the wrong part, and was not what was required to resolve the issue - it was the system board causing the issue.
else	Do not return damage items. The laptop was sent in mint condition for repairs it came back with physical damages .
else	Faster acquisition of parts
else	the first call for help was absolutely worthless, didn't listen to me at all, just said try rebooting, etc. I then had to go online to arrange a return cause I couldn't even do a hard reboot. I hate the fact I was forced to update the phone. I was happy with the way it was and unhappy with the new update. The phone exchange went well and was quick so thank you for that. Tech support however needs to get a clue.
else	I never received an email after my initial phone call detailing how to factory reset my phone. Luckily I found instructions online.
else	Ensuring resolutions provided meet the meager customer expectations
else	fix the problem instead of pushing me off the phone
else	Much of the time spent on repairs was waiting for parts to arrive to the repair shop. Having a larger in-house part inventory could decrease repair time. The actual repair was done very quickly! Go you!
else	Respect to Customer queries and provide a on time support
else	Ensure that all local techs call before showing up at place of business (especially for laptop owners, who sometimes are 'high maintenance' in coordinating repair time
else	I emailed, the respond was slow. I called in the respond was fast
else	The very weak link is your scheduling department.
else	Keep customer informed realistically on progress and timing as guaranteed and paid for assistance.  Hire smarter people for technical help.
else	The phone audio should be clearer? had to ask representative to repeat a lot of insructions
else	When the PC was returned, the finger print scanner was not working.  I had to research and reload drivers in order to make it work.  I would have liked you to do that as part of the fix so that I would not have had to research it, especially since it worked immediately when I bought it, without the need to research why it did not work.
else	1) Provide Next Business Day when a NBD Warranty Upgrade is Purchased2) Provide better escalation when NBD deadlines are missed3) When NBD service is not met, provide some form of recompense, particularly when it is missed by such a wide margin
else	Have parts on-hand and not back ordered.
else	I haven't received the tablet back so I can't finish this survey.
else	took to much time for resolution.
else	"Improve spare parts delivery model to offer a truly next day on site REPAIR experience, not ""DAY AFTER WE GET SPARES"""
else	Better telephone numbers and 24/7 on tech support.
else	"1. Make your technical onsite team a bit empathetic. I was told two very important things - (1) If the hardware scan report shows ""No Issues"" then there is no issue even if your company engineer has acknowledged that he is experiencing some kind of issue. (2) i3 8th generation with 4GB RAM,  5.4K RPM HDD and running windows 10 will show a lag issue. For better performance upgrade to 6GB (No assurance though)2. Service engineers who visit dont have adequate knowledge. They call their service heads and follow blind instructions over phone. 3. Screen sharing with onsite team never happens as the tool connection always fails. So we had to use Teamviewer (a freeware)4. Please update ticket with all conversation with customer. Everytime you call contact center, a new guy picks up the call who has no idea about the ticket and customer has to repeat everything from previous instructions. Then he follows all the steps the previous engineers has followed to arrive at same results and then he asks for a timeout to speak to his seniors and the process repeats"
else	Quicker turn around times, better quality control
else	Consistency.. We purchased next business day on-site service and were being told we had to send our device in for depot repair.The Yoga 15 that was part of this request is used as an Executive Presentation Laptop with hinges that are starting to seize up and making the Laptop difficult to open.  We were trying to proactively resolve this issue to request warranty service before someone broke the hinges forcing them open. This process took almost 2 hours on the phone over the course of 3 phone calls and 2 days. Note: the scores for Lenovo Tech support are based on the 1st and 2nd CALL1st CALL  Rep and Supervisor insisted the unit may have physical damage and could only be serviced at the Depot (despite it having an active onsite warranty)2nd CALL  Rep insisted that the unit would need to be sent into for depot inspection; requested a manager and was put on hold for 30 minutes before being hung up on. 3rd CALL  Re-explained the issue and was able to finally schedule on-site service to have the unit inspected and replacement of the hinges pending no physical damage. The on-site representative showed us the bad hinge post repair and it was completely seized up which would have resulted in physical damage if we had not gotten this repair.
else	update latest address for service centre
else	Send technicians on site it is way faster to repair a computer with technician on site
else	I had been facing the display issue within a week of purchase of this mobile through Flipkart.. after that I contacted Flipkart for the return request. They arrived and checked my mobile & made it work after rebooting. Even then after some four days I got the same issue ( display not working) & contacted Flipkart. They asked us to reach out to service centre. We came to your service centre from Goverthanagiri, Avadi which is 25 km away from Annasalai twice to give & get back my mobile. Hearing issue & display issue was resolved when I got my mobile back but from last week again Iam facing the display issue. I am not able to utilise full benefits of this mobile though I paid so much of cost for it. Also we have  a six months old  baby at home & since myself & myhusband both are working it is very very difficult for us to spare time for this issue & run behind it. It would be fine if we get this mobile replaced with new one as the problem sustain from the time we bought. Request your help on this issue.Thank you.
else	make acess quicker -- reduce wait time, if possible
else	It would be an improvement if responses were made regarding your support calls to avoid having to make repeat calls. In my case I received an automatic reply advising that someone would be in touch, but this did not happen, and I had to call / email again to raise the issue.
else	Provide stockist to all Lenovo product sold locally (System, parts and accessories)
else	Reduce number of follow up calls once problem is resolved.
else	Keep parts local
else	Speed of repair could have been faster
else	avoid sending refurbished parts such HDD
else	support / repairs should be much much faster
else	Contract with more professional field technicians
else	The laptop has been returned for repair SIX times for a variety of issues, battery eliminator, keyboard, hard drive, system board, system I/O and USB.  It seems to me that Lenovo needs to omprove the quality of the parts in its products.As for the repair process it has performed each of the times the laptop was returned for repari..
else	need customer care no should be updated in google site to contact easily.
else	still waiting to see how it all works out- computer very new
else	Dont cancel a service request before parts are ordered
else	Not sure if you are referring to my session on the phone with a technician...or the repair that took place after sending the laptop back to you.  My initial contact with someone by phone regarding my laptop was very trying.  First, I had a hard time understanding him and then we spent about an hour trying to correct the problem.  Also, my first call, after waiting on hold for some time, was dropped.  The problem was not solved by the technician and I had to ship it to Kentucky.
else	"allow support cases to be updated by customer service. Your company was going to ship a new part (fingerprint reader, that wasn't the issue in the first place) because of an incorrect phone number on this ticket that had been previously updated with a  recall related issue where a service tech was called and cam a week earlier.  Not to mention the 50 minutes on the phone between customer service and tech support to follow up on this issue and telling them it was a software or a domain network related issue and not hardware ....fingerprint reader disabled when converting this brand new machine back to Windows 10 from Windows 8. Using your recovery  key solution, not to mention my account is registered at Lenovo.com with this computer as ""my products"". Do your systems talk to each other.i was told by the customer service rep that her supervisor said they were too busy to update my phone number for the part that was shipped and picked up by a tech in my area and transferred me to tech who wanted to create a new order and ship a new part.  I put HIM ON HOLD and called the service tech who came to see me about the X! Carbon Recall (NO ISSUE). He said he would call his company and seen who picked up the part and have them contact me at the PHONE NUMBER I UPDATED WITH THE FIRST RECALL TICKET).  I put YOUR GUY off hold and said, don't bother, I got it.  The Tech came the next day, checked to see the fingerprint reader was found in my devices and that the drivers were updated.  He should have shipped you back your part.  When I first called about this issue, I again was on hold for an eternity - I asked for software support and was told they could fix my issue...BUT I didn't have software support on my account only HARDWARE support, so the guy said ALL I CAN DO IS SEND YOU A NEW FINGERPRINT READER. When I said, it was working fine yesterday on Windows 8, but not now on Windows 10.THE WORST CUSTOMER SERVICE EXPERIENCE IN RECENT MEMORY AND MAYBE EVER...!!! You spent a lot of unnecessary $ instead of doing the right thing and providing the right support."
else	Problem was not addressed, a totally different part was sent to the tech and then the tech installed it.
else	Please send non third party technician in getting things done. It took 2 months before I got a call from your dispatch/retain team to get back to a dying desktop!
else	I was amazed at the speed that I received my replacement phone. After I had been approved for a replacement.
else	get act together in call center:1) first workorder was incomplete (learned talking to level 2 tech about motherboard CPU was ensured upon repair, he issued a second ticket to correct the first one done in error)2) lots of confusion on the deliverables of the motherboard, i.e. who was getting it, when would it be deliverd to office, etc.3) next day service took 4 days!  :- )4) even though the laptop was purchased in a RAID1 configuration, and the service technician was told it was RAID1, the laptop was not configured for RAID1.  After seeing his red tailights, I noticed two drives C and D and realized the RAID1 was not configured.  I called technician and he said he only replaces the HW and does not configure the laptop.5) upon calling technical support, everyone said they do not support RAID1 on Lenovo systems.6) after explaining to a supervisor who I was told would call an hour later on Friday night, two hours later upon my call was told he left for the day.7) the following week ent through several people conversations only to learn the laptop could not be BIOS hooked to configure RAID in BIOS (because my company apparently block BIOS boot time hook, so could not get to setup.8) the bottom line, as far as I am concerned IBM service center is disorganized, the left hand does not know what the right hand is doing, and the repairs are not fit/form/function for a $4k laptop!  This whole afair cost me days of frustration only to end up with a laptio with two 500GB SSD, not the RAID1 originally purchased.9) the service techinician was okay, though he did not configure the RAID and did not tell me he was not going to do it either, which in my mind was not so good seeing I told him the configuration.10) over all, I am not impressed.  I prefer DELL systems.Cheers,Drew
else	Make sure you have things in stock before you sell them and when you refund something dont wait a month
else	Ensure updates and information provided by me is passed on to the engineer. I had to chase the incident several times and didn't receive a call back when I should have. Very slow to resolve the incident.
else	Improve your technical support helpline number it takes half an hour on line without any answer and attitude of your call operator and assistant who visit to change hard disk and still my issue is not ressolved.
else	Train call centre better so they can advise correctly. When I finally spoke to someone on live chat having not resolved the matter after 6 months they helped me very efficiently.
else	don't transfer people around
else	Comunicate 100 times better and have better manners on the phone
else	Operator was not very polite and demanding on call. He directed me to download for firmware update and I received an error when attempting to download and operator didn't know what the error was. He didn't know how to continue with the error so I stopped the call due to this. I have raised the issue to my company's support and they are in progress for a solution with a Lenovo Representative.
else	Product was returned, Lenovo still has the product
else	Fix up a time in advance to deliver the part.
else	It seems that someone has done crime if he has purchased mobile online. I have not received bill as I have ordered online. I faced trouble in getting all bills from Amazon & my lot of time wasted in that.
else	Through no fault of the on-site technician this problem was not resolved (he is the only reason the feedback is not a 0).  They had the appropriate parts but did not replace them due to the diagnostics working.  I had informed the lenovo phone specialist of this prior to the visit, but they sent the technician anyway.  Now, we are waiting on parts for my system still because of the issues we had - with a broken laptop for over two weeks.  The technician did his best to help me in the interim and with his help, I was able to save some of my computer data so I could do my work at the very least.  I have lost thousands of dollars due to the service Lenovo has provided me.
else	I ordered 2 Moto Z Play phones on Moto.com, Once I received the radios I discovered that they would only support data on Verizon , but not voice. The Website was not clear that this model was not Verizon capable. I now know that I should have ordered Z Play Droid. As a Motorola employee I was very disappointed that when I received the first 2 phones they were loaded with Very old 6.0 Android software. It took 2 hours per radio and 11 system update cycles (~3 gigs of data per phone) to bring them up to the current Android version. When I explained the issue to the repair center they said they would send/exchange them for phones that would work. The next day i received 2 of the exact same phones. I sent back all 4 phones for a refund. It is this type of service that loses Motorola customers forever in the US market. Even if I wanted to repurchase Moto Z Play Droid phones, the holiday sales are over. i would have to pay the regular price. VERY DISSATISFIED!
else	Fix it faster, it took nearly two months for the tablet to return.
else	Plastic body parts are not good. I've seen many laptops are in broken conditions from the body area. Mostly in hing area and fan area.
else	Verify the part before it is sent out.  First part to arrive was the wrong one.
else	Be truthful on the situation of parts and delivery times
else	Through improvement in your resolution speed.
else	The spare part was damaged, the technician made it work but it would be great to have better quality control over the parts prior to a 2h drive for the technician.
else	I didn't receive the the handset yet from the service centre.
else	Repair laptops faster and email status updates.
else	Send multiple parts to reduce the number of trips. Any parts not used can be sent shipped back. This would reduce the costs of repair.
else	could not return in time promised by the staff.
else	Quicker service response and ship the correct parts the first time.   Service technician did excellent job, but first technician received incorrect parts which delayed the service.   The part were shipped to my office from corporate.   Wrong item shipped to my office first time.  Second scheduled visit the parts were correct.   Overall request for service and completion took one month.
else	have a better stock of parts
else	update BIOS and Drivers automatically. My keyboard stopped working all of sudden
else	They kept computer for about month or so, never an update. Very frustrating experience.
else	Not sure on the agreement between Lenovo and JK, the replacement of faulty parts process is very slow (more than 3 weeks) and JK is unable to provide ETA on the delivery of the parts that they have ordered for replacement.
else	Waiting on the phone for service was over 21 minutes. Too long.
else	Customer Support website needs to be more intuitive and technical advisors need to read email responses more carefully.
else	Be on time.
else	The resolution provide was an acceptable resolution. However, it was like  pulling teeth to get to that resolution. The reps only wanted to provide me with one option originally and it was not beneficial for me.
else	Change the phone tree. I wasnt sure which number to hit .
Agent	Shorter hold times. I had to easily wait for 20+ mins before talking to a representative.
else	hopefully continue to provide help by phone
else	"Several Things: First, I received an automatic email stating my case was opened. I did not however receive an update or email saying that my product was on Back-Order. I had to call back into the Lenovo Support line to receive an update stating that it was back-ordered and would take longer than original informed it would. Secondly, when I received the Monitor (Lenovo Tiny In One Monitor (MTM: 10QY), it was a ""Certified Refurbished Product"". This was highly disappointing as I purchase brand new Lenovo Products all the time and the monitor that failed was only 3 months old. I should have received a Brand New Replacement monitor, not a Certified Refurbished. This is poor practice and I was not happy with the results."
else	Send updates of when the client can expect delivery of item s repaired
else	When customer requested for service send some skilled one , In my yoga 920 vibes face unlock was not working ( which mean windows hello) but the service man didt know about windows hello also .. And I had some resolution problems , he told that for every Laptop it will be same it may not be solved
else	Get the replacement parts quicker.  Have better quality parts, and/or better quality control on the laptop system boards.
else	this is the second time that this machine has been returned for the same problem in 9 months. It has not made me confident about its future, especially after the warranty expires.Really a shame as I have purchased a few of these and had no problems with the others.
else	Before update Android my phone battery backup was very good but now the battery backup is poor.
else	I would like the laptops to be repaired faster
else	As discussed previously, faster repair time would be better. In particular, when the repair center staff emails me and I reply to them, I expect faster acknowledgement of and action on my response to them.
else	Several calls and tickets had to be created.  Received different answers every time I tried to get support.  I finally received a replacement battery with no instructions as to how to replace it myself.  I tried unscrewing all the screws on the back but there is one in the middle that won't come out.  I still need support.  I was told the repair depot was being changed so someone would come to the house to do the repair.
else	Initial Lenovo rep sent me the wrong information for returning the laptop. I waited for 10 days and had to call again. 2nd Lenovo rep had to resend all paperwork so that laptop could be mailed. After this frustrating incident, I was unable to locate any information regarding the receiving of my laptop until 10 days after the post office said it arrived.  3rd  call to Lenovo - the rep put in a request to have my laptop researched. After this, my laptop's condition and repair process appeared online. I am happy to report that overall I am pleased to have my laptop repaired and am very grateful to have it back. Thank you.
else	Answer in a timely mnanner and provide updates.
else	Availability of authorized Service centers and professional service and support
else	I was informed that a part was ordered, but never received information on when the tech would be scheduled for onsite service.  I had to call back to find out the tech was scheduled to contact me the following Monday
Agent	Ticket process follow up
else	Ship the part I need
else	New phone got heated up, received poor voice calls. Gave for servicing, the center replaced the antenna. Even now occasionally the phone switches off and restarts on its own.
else	Provide more visibility into the repair process through better communication and improve the use of time by sending the right parts the first time.
else	Improve phone technical support.  Technicians need to be more familiar with the BIOS
else	Send the correct parts the first time and in a timely manner.
else	I have not received any information related to the solution of the problem. I would appreciate to get some info on the issue at least whether the problem was fixed or not.
else	More frequent update on the progress of the issue reported if the case is being escalated.
else	Listen to your techs, when they know what the issue is don't make them replace other cheaper parts first in hopes of resolving the issue. 4th warranty work on the same device model here, and it's a running joke that we have to replace other things first then replace the actual problem part
else	Make sure the computer is as set up as possible upon return - doesn't require configuration in the BIOS or OS.
else	Train online support not to close calls before the parts are ordered
else	Please give your phone support staff additional training regarding warranty and business partner service agreements. The phone staff continues to state that our recently purchased equipment has no warranty, and yet the MTSA website will display the full coverage that was purchased. As a result, I primarily use the MTSA site for all my service submissions.
else	send the parts to my company
else	Provide much accurate diagnostic rather then have me wait for 2 months then realise is a wrong part.
else	waiting for part and tech to come out and replace it
else	Please check the spare parts before sending to customers for replacement.
else	Shorten waiting for spare parts
else	Make sure the replacement part is sent out on the quoted ship date.
else	stop producing  junk ,  stop adding updates that are not fully tested.
else	Have better technical support people
else	Teach some manners and communication skills to your technical expertise sent on site.
else	I have ongoing issues with my Yoga 510 - it has NEVER been 100% functional and after multiple hours (and time lost) spent on restarts, phone calls to technical support, further days and hours spent following processes, battling to get a repair under warranty that only caused further problems and now being sent off for a second repair. I am EXTREMELY disappointed with the service I have received and the technical support staff seem to be working from a script - very sorry Im experiencing issues, a few steps to follow and confident my issue can be resolved. My belief is that the machine I was sold is not fit for purpose and I should be compensated accordingly.
else	Better communication if a part is not in stock and better estimates about when a part will be delivered.
else	I needed to send tablet twice because they did not return my cord or wall outlet.  It seems to be working OK.
else	There are the lack of knowledgeable person there
else	Please reduce your feedback questions.
else	Reduce wait times, increase capacity to make calls at designated times.
else	I trusted your company and bought this laptop and in return I m suffering with machine and  your service provider is not providing any proper solution
else	part was shipped to wrong location and closed
else	It took months to get a replacement phone for my defective phone I received for Christmas. Then I received a used phone to replace my new phone. That just isn't right.
else	Return calls when stipulated music
else	Improve the behavior of the courier service through whom you ship the part. The rating is below '0'
else	Follow through on scheduled service, return calls, and create a compentant customer service department
else	Improve the way to update customet un case of service delay expecially in the case of within warrantee as I have experience thst I hace to call 3 times to ask for the service result when it over the given time period of 7-10 days.  There is no aging report to control Lenovo service response time as my Lenovo just purchase 7 months ago and I have to send my Lenovo for a repair 2 times alresdy.  It keep on finding problem with the machine with difference cases pls check my history repair record if the machine.
else	service center people made me run for three times for the same problem and didn't fix it in first two times but on 3rd attempt, they realized that this problem can not be solved. So, they changed the motherboard of my mobile device.
else	Yesterday,I have received my handset so I can use my handset in two to five days then I can decide Your Service is better or not
else	Make sure that you can send all parts with the engineer instead of the customer having to go to the Service Center when he has paid 8500 Rs for Additional warranty. THe model Yoga 500 has a problem in the hinge.s
else	By providing clear cut resolutions about the issue
else	Have spare parts and enough tech help that next business day doesnt turn into next ten days
else	The part took over 1 week to get so I had no LCD screen during that time.
else	overall service was very poor enough to not buy Lenovo again  have 3 year warrantee(not honets agreement) 1-2 days guaranteed took many times finally 1o days after initial call  chasing to setup appointment with tech rep , the issue was misdiagnosed from the start from motherboard to hard drive didn't have part back ordered trashed all my information including operating system  going on 3 weeks and  laptop still not working hired my own tech service person
else	Shorter wait time and clearer speaking representatives.
else	lack of technical details information support
else	Actually mobile had two problem .. one is touch screen not working properly and another receiver speaker cracker sound.. in service they solved the problem of tochscreem but speaker cracker sound still is there so I have to visit again. I've take one day leave for second tym., Disgusting
else	call resolution on time.
else	I had a shipping box from a previous repair.  The rep could have just emailed me a label instead of shipping another box.  It would have saved a day, but she couldn't email a shipping label.
else	Make sure the service update website is consistently updated
else	3 attempts to replace the part and it still did not work - I am waiting for a machine replacmeent
else	faster pickup and return of the laptop or provide a replacement machine.
else	Issue 1)While doing software update i faced a problem. By mistake i selected 'update both in wifi and data' but at that time i had limited data and i wanted to use my data. Because of i selected update software in data  and wifi mode i was not able to use data. Please give an option in between update also we can choose 'update in wifi only' or 'wifi with data'. So that we can change whenever we want. Currently , once i select in between of software download not able to changeIssue 2. Imp ) I am not able to set my favorite song as my ringtone! Even basic mobile providing this feature to set my song as ringtone not lenovo!!
else	For repeated issue, please issue the new replacement part as this is not a good experience that our laptop has been replaced with 3 faulty Motherboard, 1st replacement motherboard got issue after 2 months replacement, 2nd replacement motherboard was having charging issue by default, 3rd motherboard got RAM slot issue.I am still waiting for the 4th motherboard replacement.
else	not make new problems when you return my product. Better mailing services, it took 2 1/2 - 3 weeks for you to receive it/ start working on my case
else	Better ship times on parts; the tech and everything involving the tech was great, but the wait time for part delivery (upwards of two weeks) leaves something to be desired.
else	There was a delay because the replacement part was sent to the wrong place but it's ok to make a mistake for anyone.
else	To respond to my request for help
else	1. Send all the parts required to address the issue.  2 Send parts to correct location.
else	Resolve the issue and improve the customer service and timescale for turn around time!!!
else	Lenovo can increase it's coordination with it's local service provider to enhance it's service or can employ a third party for helping out with all the logistics and coordination work.
else	Significantly reduce the wait time to talk to a tech
else	The just replace parts and do not diagnose true causes
else	Provide more technical information about the product for those who actually understand and want to know what they are buying(including brands and benchmarks for the hardware of the product).
else	Improve repair follow-up after waiting for parts hold
else	provide NBD resolution or provide an alternative solution
else	Better instructions      step by step when one is setting-up & then transferring info from computer to Lenovo.
else	Improvement needs in customer satisfaction by providing genuine parts on service
else	The ticket updates were vague. It would be nice if there were more details on what was actually done during the repair.
else	It was mentioned by the girl on the phone that I clicked on something to bring this Service Bridge issue on my computer. I wouldn't know what to click on to do this. It happened after I did my first update promted my Lenovo. At least so far it has not happened again and I was told it's not something that will harm my computer so at least that's good news.
else	Installed an updated Intel video driver, not the Nvidia I expected.
else	I feel you have a track record not recognizing design flaws. Our main machines are s260s and they crack on the covers and around the stylus. Would not replace under warranty, even though it happens on all machines Lenovo consider it a user issue. With regard to the speed of repair question, the SP advised it can take Lenovo some time to deal with the matter.
else	I sent the notebook with issues to warranty and received it back with more issues than before.
else	Little improvement required on part availability
else	Be more knowledgeable about the problem, which apparently was caused by faulty Windows update, as I discovered by researching on the internet.  Lenovo rep seemed to indicate that reinstalling windows, which would have basically erased files on my hard drive was only solution....
else	When I called  to schedule an appointment I had to call three times. Each time I was transferred to the wrong department and kept on hold for 30 plus minutes. It was very unorganized and time consuming.
else	Problem was not resolved even the unit sent in to the service depot twice.
else	Make sure you send on time to the day you have mentioned.
else	Improve the time it takes to get a new unit sent. We pay extra money for this specific warranty and feel it should be faster.
else	Better communication and have parts available quicker.
else	still waiting for the unit
else	Damaged beyond use when returned to us
else	Please provide is update.Happy with center's response time nd waiting time
else	The tech ordered the wrong part.  The laptop is still broken.
else	Don't get updates in proper Time.
else	Try to deliver parts in less days.
else	Hmmm, no idea which part can further improve at the moment.
else	Replacement part availability could be improved.
else	Fix the problem right away and maybe deem the product damaged and give me a return.  Allow for college students with problems to rent a computer somehow that works.
else	Service center listening to customer feedback and provide relevant solutions accordingly.
else	No status update from them..We as customer need to go personal to know about the status..No positive response from them. No response to the phone call..
else	Better case status tracking.
else	No further contact - unit not repaired.
else	As a partner, I was appalled by the lack of competency of the technician.
else	Technician went back to nake a report but no new update till now
else	Resolve all issues when device is received.
else	I feel like I got a refurbished computer for the price of a new.  I ordered from Lenovo because I didn't was to risk getting refurbished from Amazon but it would have been the same price and taken only  2 days.  The computer worked for 2 days, then the monitor received no signal.  I had to spend more time on the phone getting the repair set up and was without the computer for about two weeks.  The first problem I had was with ordering.  After I placed my order, it said one of the products was unavailable (after I put in my credit and shipping info) so I chatted with a rep who got the same result and I spent more time on the phone while he tried to figure out what to do.  He eventually got the order placed, but maybe that was a refurbished unit.  Just not a great experience.  This is my third Lenovo desktop and I had an early IBM Thinkpad.
Agent	high service cost for lenovo by your service agent.
else	Provide regular updates and keep to quoted timescales
else	Case was closed with no parts.
else	Service centers are a time consuming and unprofessional experience. For physical service center contact, I would not recommmend. Also, my replaced laptop hard drive is still making noise which is sort of unresolved.
else	Confirm the delivery of the parts will occur before the service is scheduled.  On a Fri, I was told the part was ordered and would be installed on Mon, but it didn't arrive on time.   I would have been satisfied if the service was scheduled for Tue to begin with, but instead I altered my schedule to make sure I was available on Monday for a service call which could not happen.
